x,y,zig_pos,cur_pos,overlap,time
3.8469990008320725,-5.756458358909305,-0.019215136495136207,3.8469990008320725,False,2.052856922149658
3.8469990008320725,-5.756458358909305,-0.038430272990272414,3.8469990008320725,False,2.069640874862671
3.8469990008320725,-5.784538643586911,-0.057645409485408625,3.8469990008320725,False,2.0862600803375244
3.8469990008320725,-5.784538643586911,-0.07686054598054483,3.8469990008320725,False,2.103221893310547
3.8469990008320725,-5.784538643586911,-0.09607568247568103,3.8469990008320725,False,2.119813919067383
3.8469990008320725,-5.784538643586911,-0.11529081897081724,3.8469990008320725,False,2.1364669799804688
3.8469990008320725,-5.784538643586911,-0.13450595546595345,3.8469990008320725,False,2.1531779766082764
3.8469990008320725,-5.784538643586911,-0.15372109196108966,3.8469990008320725,False,2.1695969104766846
3.8469990008320725,-5.784538643586911,-0.17293622845622586,3.8469990008320725,False,2.1862850189208984
3.8469990008320725,-5.784538643586911,-0.19215136495136206,3.8469990008320725,False,2.2029740810394287
3.8469990008320725,-5.784538643586911,-0.21136650144649827,3.8469990008320725,False,2.219655990600586
3.8469990008320725,-5.784538643586911,-0.23058163794163447,3.8469990008320725,False,2.236330986022949
3.8469990008320725,-5.784538643586911,-0.24979677443677067,3.8469990008320725,False,2.2530078887939453
3.8469990008320725,-5.784538643586911,-0.2690119109319069,3.8469990008320725,False,2.2698469161987305
3.8469990008320725,-5.784538643586911,-0.28822704742704314,3.8469990008320725,False,2.286520004272461
3.818918716154466,-5.784538643586911,-0.30744218392217937,3.818918716154466,False,2.303170919418335
3.5381158693784025,-5.784538643586911,-0.3266573204173156,3.5381158693784025,False,2.3198130130767822
3.285393307279945,-5.840699212942123,-0.34587245691245183,3.285393307279945,False,2.3364109992980957
2.948429891148668,-5.953020351652549,-0.36508759340758806,2.948429891148668,False,2.3530490398406982
2.47106505162936,-6.093421775040582,-0.3843027299027243,2.47106505162936,False,2.369818925857544
2.0217804967876583,-6.289983767783827,-0.4035178663978605,2.0217804967876583,False,2.38645601272583
1.6567367959787758,-6.48654576052707,-0.42273300289299676,1.6567367959787758,False,2.4029629230499268
1.3759339492027118,-6.626947183915103,-0.441948139388133,1.3759339492027118,False,2.419853925704956
1.151291671781861,-6.739268322625528,-0.4611632758832692,1.151291671781861,False,2.4364778995513916
0.9547296790386165,-6.879669746013559,-0.48037841237840545,0.9547296790386165,False,2.452946901321411
0.7581676862953718,-6.935830315368773,-0.4995935488735417,0.7581676862953718,False,2.4696459770202637
0.6739268322625528,-6.963910600046379,-0.5188086853686779,0.6739268322625528,False,2.4863009452819824
0.5896859782297337,-6.963910600046379,-0.538023821863814,0.5896859782297337,False,2.502937078475952
0.533525408874521,-6.935830315368773,-0.5572389583589502,0.533525408874521,False,2.5198209285736084
0.30888313145367,-6.795428891980741,-0.5764540948540864,0.30888313145367,False,2.5364439487457275
0.0,-6.655027468592709,-0.5956692313492226,0.0,False,2.5528810024261475
-0.4212042701640955,-6.458465475849464,-0.6148843678443587,-0.4212042701640955,False,2.5695278644561768
-0.7300874016177654,-6.318064052461432,-0.6340995043394949,-0.7300874016177654,False,2.5863089561462402
-0.8985691096834038,-6.261903483106219,-0.6533146408346311,-0.8985691096834038,False,2.6032819747924805
-0.9547296790386165,-6.205742913751007,-0.6725297773297673,-0.9547296790386165,False,2.619832992553711
-1.0108902483938291,-6.149582344395794,-0.6917449138249034,-1.0108902483938291,False,2.636467933654785
-1.0108902483938291,-6.121502059718187,-0.7109600503200396,-1.0108902483938291,False,2.65293288230896
-1.0108902483938291,-6.093421775040582,-0.7301751868151758,-1.0108902483938291,False,2.669677972793579
-0.9547296790386165,-6.065341490362974,-0.749390323310312,-0.9547296790386165,False,2.6863620281219482
-0.8704888250057974,-6.037261205685368,-0.7686054598054481,-0.8704888250057974,False,2.703176975250244
-0.702007116940159,-6.037261205685368,-0.7878205963005843,-0.702007116940159,False,2.7197718620300293
-0.5896859782297337,-6.065341490362974,-0.8070357327957205,-0.5896859782297337,False,2.736315965652466
-0.533525408874521,-6.065341490362974,-0.8262508692908567,-0.533525408874521,False,2.7532169818878174
-0.5054451241969146,-6.065341490362974,-0.8454660057859928,-0.5054451241969146,False,2.7696540355682373
-0.5054451241969146,-6.065341490362974,-0.864681142281129,-0.5054451241969146,False,2.786285877227783
-0.5054451241969146,-6.093421775040582,-0.8838962787762652,-0.5054451241969146,False,2.803009033203125
-0.5896859782297337,-6.121502059718187,-0.9031114152714014,-0.5896859782297337,False,2.8208000659942627
-0.7300874016177654,-6.149582344395794,-0.9223265517665376,-0.7300874016177654,False,2.836418867111206
-0.842408540328191,-6.149582344395794,-0.9415416882616737,-0.842408540328191,False,2.8530220985412598
-0.9828099637162228,-6.149582344395794,-0.9607568247568099,-0.9828099637162228,False,2.8698198795318604
-1.1232113871042546,-6.149582344395794,-0.9799719612519461,-1.1232113871042546,False,2.886317014694214
-1.2916930951698928,-6.149582344395794,-0.9991870977470823,-1.2916930951698928,False,2.9031319618225098
-1.5724959419459568,-6.121502059718187,-1.0184022342422185,-1.5724959419459568,False,2.9197158813476562
-1.7409776500115948,-6.093421775040582,-1.0376173707373548,-1.7409776500115948,False,2.936307907104492
-1.8813790733996265,-6.037261205685368,-1.0568325072324911,-1.8813790733996265,False,2.9700679779052734
-2.0217804967876583,-5.981100636330156,-1.0760476437276274,-2.0217804967876583,False,2.98655104637146
-2.0498607814652647,-5.981100636330156,-1.0952627802227637,-2.0498607814652647,False,3.0032269954681396
-2.0217804967876583,-5.924940066974943,-1.1144779167179,-2.0217804967876583,False,3.019742965698242
-1.9375396427548393,-5.896859782297336,-1.1336930532130363,-1.9375396427548393,False,3.03629207611084
-1.8532987887220203,-5.868779497619731,-1.1529081897081725,-1.8532987887220203,False,3.0529799461364746
-1.7690579346892013,-5.868779497619731,-1.1721233262033088,-1.7690579346892013,False,3.069694995880127
-1.684817080656382,-5.840699212942123,-1.1913384626984451,-1.684817080656382,False,3.0863759517669678
-1.6286565113011695,-5.840699212942123,-1.2105535991935814,-1.6286565113011695,False,3.1030590534210205
-1.6286565113011695,-5.840699212942123,-1.2297687356887177,-1.6286565113011695,False,3.1196200847625732
-1.6567367959787758,-5.840699212942123,-1.248983872183854,-1.6567367959787758,False,3.136446952819824
-1.7971382193668075,-5.896859782297336,-1.2681990086789903,-1.7971382193668075,False,3.1530520915985107
-2.0498607814652647,-5.924940066974943,-1.2874141451741266,-2.0498607814652647,False,3.1697630882263184
-2.4149044822741472,-5.924940066974943,-1.3066292816692628,-2.4149044822741472,False,3.1865460872650146
-2.808028467760636,-5.981100636330156,-1.3258444181643991,-2.808028467760636,False,3.2032408714294434
-3.004590460503881,-6.009180921007762,-1.3450595546595354,-3.004590460503881,False,3.219675064086914
-3.0607510298590936,-6.037261205685368,-1.3642746911546717,-3.0607510298590936,False,3.236536979675293
-3.0888313145367,-6.037261205685368,-1.383489827649808,-3.0888313145367,False,3.253159999847412
-3.0888313145367,-6.037261205685368,-1.4027049641449443,-3.0888313145367,False,3.269690990447998
-3.0888313145367,-6.037261205685368,-1.4219201006400806,-3.0888313145367,False,3.286468029022217
-3.0888313145367,-6.037261205685368,-1.4411352371352169,-3.0888313145367,False,3.3030240535736084
-3.0888313145367,-6.037261205685368,-1.4603503736303531,-3.0888313145367,False,3.3198139667510986
-3.0888313145367,-6.009180921007762,-1.4795655101254894,-3.0888313145367,False,3.3364150524139404
-3.0607510298590936,-6.009180921007762,-1.4987806466206257,-3.0607510298590936,False,3.3530900478363037
-3.0607510298590936,-6.009180921007762,-1.517995783115762,-3.0607510298590936,False,3.3697400093078613
-3.032670745181487,-6.009180921007762,-1.5372109196108983,-3.032670745181487,False,3.3863699436187744
-3.032670745181487,-6.009180921007762,-1.5564260561060346,-3.032670745181487,False,3.403035879135132
-3.032670745181487,-6.009180921007762,-1.5756411926011709,-3.032670745181487,False,3.419787883758545
-3.032670745181487,-6.009180921007762,-1.5948563290963071,-3.032670745181487,False,3.4364309310913086
-3.032670745181487,-6.009180921007762,-1.6140714655914434,-3.032670745181487,False,3.4531679153442383
-3.032670745181487,-6.009180921007762,-1.6332866020865797,-3.032670745181487,False,3.4696760177612305
-3.032670745181487,-6.009180921007762,-1.652501738581716,-3.032670745181487,False,3.486362934112549
-3.032670745181487,-6.009180921007762,-1.6717168750768523,-3.032670745181487,False,3.503067970275879
-3.032670745181487,-6.009180921007762,-1.6909320115719886,-3.032670745181487,False,3.519906997680664
-3.032670745181487,-6.009180921007762,-1.7101471480671249,-3.032670745181487,False,3.5365149974823
-3.032670745181487,-6.009180921007762,-1.7293622845622612,-3.032670745181487,False,3.553102970123291
-3.032670745181487,-6.009180921007762,-1.7485774210573974,-3.032670745181487,False,3.5695369243621826
-3.0888313145367,-6.009180921007762,-1.7677925575525337,-3.0888313145367,False,3.5862209796905518
-3.116911599214307,-5.981100636330156,-1.78700769404767,-3.116911599214307,False,3.603005886077881
-3.1449918838919135,-5.924940066974943,-1.8062228305428063,-3.1449918838919135,False,3.6196699142456055
-3.1730721685695196,-5.924940066974943,-1.8254379670379426,-3.1730721685695196,False,3.636590003967285
-3.1730721685695196,-5.924940066974943,-1.8446531035330789,-3.1730721685695196,False,3.6531519889831543
-3.201152453247126,-5.896859782297336,-1.8638682400282152,-3.201152453247126,False,3.669792890548706
-3.201152453247126,-5.868779497619731,-1.8830833765233514,-3.201152453247126,False,3.686492919921875
-3.229232737924732,-5.840699212942123,-1.9022985130184877,-3.229232737924732,False,3.702991008758545
-3.229232737924732,-5.812618928264518,-1.921513649513624,-3.229232737924732,False,3.719848871231079
-3.257313022602339,-5.812618928264518,-1.9407287860087603,-3.257313022602339,False,3.736496925354004
-3.257313022602339,-5.812618928264518,-1.9599439225038966,-3.257313022602339,False,3.753243923187256
-3.257313022602339,-5.812618928264518,-1.9791590589990329,-3.257313022602339,False,3.7697019577026367
-3.257313022602339,-5.812618928264518,-1.9983741954941692,-3.257313022602339,False,3.7863850593566895
-3.257313022602339,-5.812618928264518,-2.0175893319893055,-3.257313022602339,False,3.8031630516052246
-3.257313022602339,-5.812618928264518,-2.0368044684844415,-3.257313022602339,False,3.8199238777160645
-3.257313022602339,-5.812618928264518,-2.0560196049795776,-3.257313022602339,False,3.836397886276245
-3.257313022602339,-5.812618928264518,-2.0752347414747137,-3.257313022602339,False,3.853255033493042
-3.257313022602339,-5.812618928264518,-2.0944498779698497,-3.257313022602339,False,3.869823932647705
-3.257313022602339,-5.812618928264518,-2.113665014464986,-3.257313022602339,False,3.8864738941192627
-3.257313022602339,-5.812618928264518,-2.132880150960122,-3.257313022602339,False,3.903153896331787
-3.257313022602339,-5.812618928264518,-2.152095287455258,-3.257313022602339,False,3.9196829795837402
-3.257313022602339,-5.812618928264518,-2.171310423950394,-3.257313022602339,False,3.936523914337158
-3.257313022602339,-5.812618928264518,-2.19052556044553,-3.257313022602339,False,3.9531280994415283
-3.257313022602339,-5.812618928264518,-2.209740696940666,-3.257313022602339,False,3.9697089195251465
-3.257313022602339,-5.812618928264518,-2.228955833435802,-3.257313022602339,False,3.986517906188965
-3.285393307279945,-5.728378074231698,-2.2481709699309382,-3.285393307279945,False,4.003144025802612
